Date,Open,High,Low,Close,Volume,Adj Close
2014-05-13,592.00,594.54,590.70,593.76,39934300,84.04
2014-05-12,587.49,593.66,587.40,592.83,53302200,83.91
2014-05-09,584.54,586.25,580.33,585.54,72899400,82.88
2014-05-08,588.25,594.41,586.40,587.99,57574300,83.22
2014-05-07,595.25,597.29,587.73,592.33,70716100,83.37
2014-05-06,601.80,604.41,594.41,594.41,93641100,83.66
2014-05-05,590.14,601.00,590.00,600.96,71766800,84.59
2014-05-02,592.34,594.20,589.71,592.58,47878600,83.41
2014-05-01,592.00,594.80,586.36,591.48,61012000,83.25
2014-04-30,592.64,599.43,589.80,590.09,114160200,83.06
2014-04-29,593.74,595.98,589.51,592.33,84344400,83.37
2014-04-28,572.80,595.75,572.55,594.09,167371400,83.62
2014-04-25,564.53,571.99,563.96,571.94,97568800,80.50
2014-04-24,568.21,570.00,560.73,567.77,189977900,79.91
2014-04-23,529.06,531.13,524.45,524.75,98735000,73.86
2014-04-22,528.31,531.83,526.50,531.70,50640800,74.84
2014-04-21,525.34,532.14,523.96,531.17,45637200,74.76
2014-04-17,520.00,527.76,519.20,524.94,71083600,73.89
2014-04-16,518.05,521.09,514.14,519.01,53691400,73.05
2014-04-15,520.27,521.64,511.33,517.96,66622500,72.90
2014-04-14,521.90,522.16,517.21,521.68,51418500,73.43
2014-04-11,519.00,522.83,517.14,519.61,67929400,73.14
2014-04-10,530.68,532.24,523.17,523.48,59913000,73.68
2014-04-09,522.64,530.49,522.02,530.32,51542400,74.64
2014-04-08,525.19,526.12,518.70,523.44,60972100,73.67
2014-04-07,528.02,530.90,521.89,523.47,72462600,73.68
2014-04-04,539.81,540.00,530.58,531.82,68812800,74.85
2014-04-03,541.39,542.50,537.64,538.79,40586000,75.83
2014-04-02,542.38,543.48,540.26,542.55,45105200,76.36
2014-04-01,537.76,541.87,536.77,541.65,50190000,76.24
